Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.51000000E+02	-4.95801757E+01	-4.90421800E+01	-4.95776768E+01	-4.96461869E+01	-4.93084762E+01	-4.92906285E+01	-4.89957992E+01	-4.90205552E+01	-4.90333229E+01	
-1.50000000E+02	-4.94232052E+01	-4.88610580E+01	-4.94095130E+01	-4.94836429E+01	-4.91371743E+01	-4.91129242E+01	-4.88127160E+01	-4.88347000E+01	-4.88461929E+01	
-1.49000000E+02	-4.92861373E+01	-4.87030169E+01	-4.92668034E+01	-4.93462922E+01	-4.89893938E+01	-4.89586617E+01	-4.86525759E+01	-4.86710322E+01	-4.86804176E+01	
-1.48000000E+02	-4.91714617E+01	-4.85719116E+01	-4.91526274E+01	-4.92374988E+01	-4.88686750E+01	-4.88315959E+01	-4.85194253E+01	-4.85338267E+01	-4.85402606E+01	
-1.47000000E+02	-4.90808959E+01	-4.84709851E+01	-4.90692977E+01	-4.91597858E+01	-4.87778712E+01	-4.87348125E+01	-4.84165470E+01	-4.84263123E+01	-4.84291662E+01	
-1.46000000E+02	-4.90151551E+01	-4.84027373E+01	-4.90181088E+01	-4.91148488E+01	-4.87189737E+01	-4.86705617E+01	-4.83464272E+01	-4.83511398E+01	-4.83498585E+01	
-1.45000000E+02	-4.89736984E+01	-4.83684948E+01	-4.89990822E+01	-4.91030254E+01	-4.86928657E+01	-4.86400442E+01	-4.83108619E+01	-4.83101178E+01	-4.83042236E+01	
-1.44000000E+02	-4.89544795E+01	-4.83683161E+01	-4.90106580E+01	-4.91231290E+01	-4.86988889E+01	-4.86429409E+01	-4.83098216E+01	-4.83035229E+01	-4.82925824E+01	
-1.43000000E+02	-4.89536038E+01	-4.84004919E+01	-4.90492520E+01	-4.91718420E+01	-4.87345651E+01	-4.86770435E+01	-4.83420379E+01	-4.83299884E+01	-4.83140460E+01	
-1.42000000E+02	-4.89650667E+01	-4.84610677E+01	-4.91087263E+01	-4.92432750E+01	-4.87950213E+01	-4.87379226E+01	-4.84034125E+01	-4.83861622E+01	-4.83651763E+01	
-1.41000000E+02	-4.89806734E+01	-4.85434575E+01	-4.91801022E+01	-4.93284415E+01	-4.88725859E+01	-4.88182554E+01	-4.84879883E+01	-4.84658947E+01	-4.84403868E+01	
-1.40000000E+02	-4.89901433E+01	-4.86376919E+01	-4.92512202E+01	-4.94149821E+01	-4.89563523E+01	-4.89074143E+01	-4.85859486E+01	-4.85599914E+01	-4.85308989E+01	
-1.39000000E+02	-4.89817134E+01	-4.87305636E+01	-4.93073854E+01	-4.94874774E+01	-4.90323793E+01	-4.89914414E+01	-4.86842148E+01	-4.86561246E+01	-4.86246454E+01	
-1.38000000E+02	-4.89433795E+01	-4.88058134E+01	-4.93321944E+01	-4.95283836E+01	-4.90842288E+01	-4.90535931E+01	-4.87665475E+01	-4.87383982E+01	-4.87064373E+01	
