Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.43000000E+02	-5.41204701E+01	-6.21150653E+01	-5.93931911E+01	-5.85563882E+01	-5.51797493E+01	-5.46240105E+01	-5.42525576E+01	
-1.42000000E+02	-5.38438853E+01	-6.00204812E+01	-5.78951063E+01	-5.72771217E+01	-5.46863440E+01	-5.43142587E+01	-5.39948215E+01	
-1.41000000E+02	-5.34633328E+01	-5.80124785E+01	-5.64170023E+01	-5.59730007E+01	-5.41289400E+01	-5.39156303E+01	-5.36312824E+01	
-1.40000000E+02	-5.30102420E+01	-5.61971879E+01	-5.50329579E+01	-5.47209856E+01	-5.35410526E+01	-5.34553576E+01	-5.31918846E+01	
-1.39000000E+02	-5.25211667E+01	-5.46048082E+01	-5.37864426E+01	-5.35721096E+01	-5.29616801E+01	-5.29741615E+01	-5.27146364E+01	
-1.38000000E+02	-5.20361745E+01	-5.32306798E+01	-5.26925914E+01	-5.25529921E+01	-5.24260187E+01	-5.25116423E+01	-5.22398133E+01	
-1.37000000E+02	-5.15863003E+01	-5.20571766E+01	-5.17524027E+01	-5.16704791E+01	-5.19572770E+01	-5.20993895E+01	-5.18028596E+01	
-1.36000000E+02	-5.11874152E+01	-5.10594556E+01	-5.09527338E+01	-5.09196724E+01	-5.15666692E+01	-5.17555406E+01	-5.14196020E+01	
-1.35000000E+02	-5.08403754E+01	-5.02084529E+01	-5.02728304E+01	-5.02836419E+01	-5.12495820E+01	-5.14787002E+01	-5.10915075E+01	
-1.34000000E+02	-5.05289059E+01	-4.94710664E+01	-4.96825525E+01	-4.97348942E+01	-5.09852342E+01	-5.12515660E+01	-5.08027963E+01	
-1.33000000E+02	-5.02214308E+01	-4.88112572E+01	-4.91465247E+01	-4.92396406E+01	-5.07370369E+01	-5.10365014E+01	-5.05195204E+01	
-1.32000000E+02	-4.98734058E+01	-4.81909033E+01	-4.86230006E+01	-4.87560644E+01	-5.04547841E+01	-5.07800204E+01	-5.01947270E+01	
-1.31000000E+02	-4.94380358E+01	-4.75716725E+01	-4.80708041E+01	-4.82421945E+01	-5.00808978E+01	-5.04188220E+01	-4.97752240E+01	
-1.30000000E+02	-4.88698995E+01	-4.69201124E+01	-4.74528192E+01	-4.76584421E+01	-4.95611133E+01	-4.98941860E+01	-4.92123461E+01	
-1.29000000E+02	-4.81410367E+01	-4.62096182E+01	-4.67425616E+01	-4.69759691E+01	-4.88599267E+01	-4.91682463E+01	-4.84755651E+01	
-1.28000000E+02	-4.72488073E+01	-4.54253261E+01	-4.59271836E+01	-4.61814614E+01	-4.79710144E+01	-4.82375606E+01	-4.75613404E+01	
-1.27000000E+02	-4.62155961E+01	-4.45656711E+01	-4.50132247E+01	-4.52804762E+01	-4.69205618E+01	-4.71361226E+01	-4.64974262E+01	
-1.26000000E+02	-4.50870889E+01	-4.36419497E+01	-4.40225489E+01	-4.42951579E+01	-4.57607171E+01	-4.59237639E+01	-4.53345658E+01	
-1.25000000E+02	-4.39198934E+01	-4.26764943E+01	-4.29883907E+01	-4.32621040E+01	-4.45530418E+01	-4.46690502E+01	-4.41325604E+01	
-1.24000000E+02	-4.27687175E+01	-4.16987422E+01	-4.19502533E+01	-4.22213398E+01	-4.33582244E+01	-4.34363998E+01	-4.29506823E+01	
-1.23000000E+02	-4.16813342E+01	-4.07398718E+01	-4.09453250E+01	-4.12119512E+01	-4.22257924E+01	-4.22766157E+01	-4.18372519E+01	
-1.22000000E+02	-4.06926605E+01	-3.98283940E+01	-4.00049210E+01	-4.02665190E+01	-4.11913975E+01	-4.12250093E+01	-4.08277060E+01	
-1.21000000E+02	-3.98244608E+01	-3.89867496E+01	-3.91511697E+01	-3.94077621E+01	-4.02763589E+01	-4.03021211E+01	-3.99429719E+01	
-1.20000000E+02	-3.90865514E+01	-3.82297640E+01	-3.83960743E+01	-3.86475238E+01	-3.94886393E+01	-3.95147853E+01	-3.91926075E+01	
-1.19000000E+02	-3.84769879E+01	-3.75638868E+01	-3.77421915E+01	-3.79890961E+01	-3.88251668E+01	-3.88585786E+01	-3.85730518E+01	
-1.18000000E+02	-3.79830283E+01	-3.69878275E+01	-3.71836251E+01	-3.74254318E+01	-3.82722150E+01	-3.83180784E+01	-3.80712757E+01	
-1.17000000E+02	-3.75819502E+01	-3.64933418E+01	-3.67065805E+01	-3.69430743E+01	-3.78077462E+01	-3.78693181E+01	-3.76632072E+01	
-1.16000000E+02	-3.72426255E+01	-3.60666224E+01	-3.62923538E+01	-3.65224221E+01	-3.74035738E+01	-3.74803066E+01	-3.73171520E+01	
-1.15000000E+02	-3.69283992E+01	-3.56902678E+01	-3.59186932E+01	-3.61411202E+01	-3.70282704E+01	-3.71167679E+01	-3.69963160E+01	
-1.14000000E+02	-3.66017496E+01	-3.53454137E+01	-3.55631946E+01	-3.57764469E+01	-3.66520531E+01	-3.67451041E+01	-3.66629014E+01	
-1.13000000E+02	-3.62322911E+01	-3.50142494E+01	-3.52065187E+01	-3.54089754E+01	-3.62512693E+01	-3.63390640E+01	-3.62871423E+01	
-1.12000000E+02	-3.58016411E+01	-3.46822125E+01	-3.48345963E+01	-3.50244969E+01	-3.58116552E+01	-3.58844139E+01	-3.58505606E+01	
-1.11000000E+02	-3.53079397E+01	-3.43401840E+01	-3.44410760E+01	-3.46163796E+01	-3.53304824E+01	-3.53805011E+01	-3.53522376E+01	
-1.10000000E+02	-3.47658558E+01	-3.39857248E+01	-3.40288138E+01	-3.41874573E+01	-3.48163336E+01	-3.48394072E+01	-3.48068424E+01	
