Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.55000000E+02	-2.33728264E+01	-2.14353489E+01	-2.22241408E+01	-2.20720190E+01	-2.18842349E+01	-2.17051058E+01	-2.12859454E+01	-2.11409697E+01	-2.09603268E+01	
-1.54000000E+02	-2.29913156E+01	-2.10707953E+01	-2.18537323E+01	-2.16993010E+01	-2.15122297E+01	-2.13358136E+01	-2.09244678E+01	-2.07825434E+01	-2.06054321E+01	
-1.53000000E+02	-2.26351133E+01	-2.07393651E+01	-2.15130276E+01	-2.13572863E+01	-2.11717817E+01	-2.09988224E+01	-2.05964472E+01	-2.04579669E+01	-2.02846551E+01	
-1.52000000E+02	-2.23067509E+01	-2.04428046E+01	-2.12040221E+01	-2.10479440E+01	-2.08647938E+01	-2.06960436E+01	-2.03036542E+01	-2.01687597E+01	-1.99994428E+01	
-1.51000000E+02	-2.20089564E+01	-2.01830481E+01	-2.09288902E+01	-2.07734269E+01	-2.05934295E+01	-2.04294662E+01	-2.00478465E+01	-1.99169724E+01	-1.97519465E+01	
-1.50000000E+02	-2.17447017E+01	-1.99622647E+01	-2.06902171E+01	-2.05361404E+01	-2.03598935E+01	-2.02013369E+01	-1.98314011E+01	-1.97045200E+01	-1.95440581E+01	
-1.49000000E+02	-2.15171584E+01	-1.97827968E+01	-2.04905932E+01	-2.03387015E+01	-2.01667962E+01	-2.00140973E+01	-1.96564827E+01	-1.95338594E+01	-1.93782241E+01	
-1.48000000E+02	-2.13297931E+01	-1.96473782E+01	-2.03329960E+01	-2.01839697E+01	-2.00169287E+01	-1.98706116E+01	-1.95256387E+01	-1.94075326E+01	-1.92567513E+01	
-1.47000000E+02	-2.11863349E+01	-1.95589981E+01	-2.02207432E+01	-2.00751829E+01	-1.99134404E+01	-1.97737869E+01	-1.94420694E+01	-1.93285306E+01	-1.91828283E+01	
-1.46000000E+02	-2.10908693E+01	-1.95209566E+01	-2.01574388E+01	-2.00158385E+01	-1.98596948E+01	-1.97268917E+01	-1.94090726E+01	-1.93000530E+01	-1.91594442E+01	
