Far field
"Plane Wave Phi"[deg]	"1Blade_SEP_lam8_Carbide [dBsm]"	"1Blade_SEP_lam16_Carbide [dBsm]"	"1Blade_SEP_lam20_Carbide [dBsm]"	"1Blade_SEP_lam25_Carbide [dBsm]"	"1Blade_SEP_lam32_Carbide [dBsm]"	"1Blade_SEP_lam40_Carbide [dBsm]"	"1Blade_SEP_lam64_Carbide [dBsm]"	"1Blade_SEP_lam80_Carbide [dBsm]"	"1Blade_SEP_lam120_Carbide [dBsm]"	
-1.51000000E+02	-5.08957650E+01	-5.03792929E+01	-5.05961852E+01	-5.10440749E+01	-5.10173509E+01	-5.07930248E+01	-5.01283525E+01	-4.98439899E+01	-4.94922875E+01	
-1.50000000E+02	-5.13806878E+01	-5.06915136E+01	-5.10441547E+01	-5.14639710E+01	-5.13714943E+01	-5.11246253E+01	-5.04345723E+01	-5.01416051E+01	-4.97799383E+01	
-1.49000000E+02	-5.18453950E+01	-5.09658314E+01	-5.14714105E+01	-5.18465124E+01	-5.16771009E+01	-5.14121380E+01	-5.07060544E+01	-5.04088893E+01	-5.00416028E+01	
-1.48000000E+02	-5.22696297E+01	-5.11915169E+01	-5.18607814E+01	-5.21734440E+01	-5.19197025E+01	-5.16433611E+01	-5.09347993E+01	-5.06372021E+01	-5.02691278E+01	
-1.47000000E+02	-5.26319176E+01	-5.13601937E+01	-5.21945374E+01	-5.24287154E+01	-5.20882434E+01	-5.18081477E+01	-5.11109740E+01	-5.08187948E+01	-5.04553719E+01	
-1.46000000E+02	-5.29132793E+01	-5.14681677E+01	-5.24575371E+01	-5.26010813E+01	-5.21783062E+01	-5.19022127E+01	-5.12326439E+01	-5.09492603E+01	-5.05965999E+01	
-1.45000000E+02	-5.31012339E+01	-5.15162529E+01	-5.26400066E+01	-5.26872557E+01	-5.21925936E+01	-5.19286660E+01	-5.12979216E+01	-5.10280319E+01	-5.06911764E+01	
-1.44000000E+02	-5.31931366E+01	-5.15099847E+01	-5.27394612E+01	-5.26927617E+01	-5.21405534E+01	-5.18941210E+01	-5.13118932E+01	-5.10592369E+01	-5.07414232E+01	
-1.43000000E+02	-5.31969268E+01	-5.14585291E+01	-5.27624312E+01	-5.26302265E+01	-5.20364006E+01	-5.18110880E+01	-5.12819340E+01	-5.10474621E+01	-5.07522183E+01	
-1.42000000E+02	-5.31293649E+01	-5.13733241E+01	-5.27215561E+01	-5.25167102E+01	-5.18963707E+01	-5.16928630E+01	-5.12185603E+01	-5.10030404E+01	-5.07306842E+01	
