Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.43000000E+02	-4.21330705E+01	-4.21445138E+01	-4.23717134E+01	-4.23012974E+01	-4.21630232E+01	-4.21931390E+01	-4.21499017E+01	
-1.42000000E+02	-4.25981915E+01	-4.23436502E+01	-4.26101211E+01	-4.26125658E+01	-4.25651807E+01	-4.26219632E+01	-4.26100650E+01	
-1.41000000E+02	-4.31941106E+01	-4.26382362E+01	-4.29575551E+01	-4.30363579E+01	-4.30807422E+01	-4.31700782E+01	-4.31967926E+01	
-1.40000000E+02	-4.38410744E+01	-4.29904133E+01	-4.33648636E+01	-4.35177912E+01	-4.36425489E+01	-4.37664171E+01	-4.38331506E+01	
-1.39000000E+02	-4.43975779E+01	-4.33458155E+01	-4.37573951E+01	-4.39686230E+01	-4.41391752E+01	-4.42889284E+01	-4.43824965E+01	
-1.38000000E+02	-4.46801359E+01	-4.36416875E+01	-4.40450545E+01	-4.42802857E+01	-4.44329579E+01	-4.45841476E+01	-4.46691196E+01	
-1.37000000E+02	-4.45652495E+01	-4.38275830E+01	-4.41556254E+01	-4.43677434E+01	-4.44274574E+01	-4.45453797E+01	-4.45739499E+01	
-1.36000000E+02	-4.40994071E+01	-4.38908867E+01	-4.40786921E+01	-4.42257659E+01	-4.41401014E+01	-4.41983565E+01	-4.41379320E+01	
-1.35000000E+02	-4.34597510E+01	-4.38681649E+01	-4.38762739E+01	-4.39375410E+01	-4.36949498E+01	-4.36853352E+01	-4.35299520E+01	
-1.34000000E+02	-4.28341753E+01	-4.38308340E+01	-4.36513959E+01	-4.36270939E+01	-4.32431615E+01	-4.31713661E+01	-4.29312733E+01	
-1.33000000E+02	-4.23502611E+01	-4.38589019E+01	-4.35053806E+01	-4.34064136E+01	-4.29038296E+01	-4.27795507E+01	-4.24693717E+01	
-1.32000000E+02	-4.20782999E+01	-4.40211941E+01	-4.35162512E+01	-4.33545644E+01	-4.27511969E+01	-4.25835814E+01	-4.22147551E+01	
