Far field
"Plane Wave Phi"[deg]	"2Blades_SEP_lam80_Carbide [dBsm]"	"2Blades_SEP_lam8_Carbide [dBsm]"	"2Blades_SEP_lam16_Carbide [dBsm]"	"2Blades_SEP_lam20_Carbide [dBsm]"	"2Blades_SEP_lam32_Carbide [dBsm]"	"2Blades_SEP_lam40_Carbide [dBsm]"	"2Blades_SEP_lam64_Carbide [dBsm]"	
-1.43000000E+02	-4.21332808E+01	-4.21455079E+01	-4.23760002E+01	-4.23025282E+01	-4.21632665E+01	-4.21933306E+01	-4.21499963E+01	
-1.42000000E+02	-4.25981864E+01	-4.23446733E+01	-4.26143638E+01	-4.26140011E+01	-4.25654626E+01	-4.26219157E+01	-4.26097599E+01	
-1.41000000E+02	-4.31938332E+01	-4.26392351E+01	-4.29617098E+01	-4.30381355E+01	-4.30812057E+01	-4.31703204E+01	-4.31964700E+01	
-1.40000000E+02	-4.38407184E+01	-4.29914045E+01	-4.33688318E+01	-4.35195988E+01	-4.36431287E+01	-4.37665261E+01	-4.38328984E+01	
-1.39000000E+02	-4.43964330E+01	-4.33467588E+01	-4.37612889E+01	-4.39711110E+01	-4.41396853E+01	-4.42890045E+01	-4.43821714E+01	
-1.38000000E+02	-4.46789542E+01	-4.36428316E+01	-4.40486456E+01	-4.42827126E+01	-4.44335454E+01	-4.45843594E+01	-4.46686102E+01	
-1.37000000E+02	-4.45633609E+01	-4.38288931E+01	-4.41592549E+01	-4.43703955E+01	-4.44281046E+01	-4.45457655E+01	-4.45735997E+01	
-1.36000000E+02	-4.40975608E+01	-4.38923935E+01	-4.40820985E+01	-4.42278604E+01	-4.41408377E+01	-4.41988112E+01	-4.41374013E+01	
-1.35000000E+02	-4.34581261E+01	-4.38699309E+01	-4.38792715E+01	-4.39397712E+01	-4.36958213E+01	-4.36854802E+01	-4.35289929E+01	
-1.34000000E+02	-4.28335663E+01	-4.38327017E+01	-4.36540945E+01	-4.36291650E+01	-4.32438977E+01	-4.31716019E+01	-4.29307519E+01	
-1.33000000E+02	-4.23493194E+01	-4.38608753E+01	-4.35079689E+01	-4.34081706E+01	-4.29044357E+01	-4.27798574E+01	-4.24684679E+01	
-1.32000000E+02	-4.20778694E+01	-4.40232692E+01	-4.35186334E+01	-4.33561709E+01	-4.27519476E+01	-4.25838542E+01	-4.22143849E+01	
-1.31000000E+02	-4.20520338E+01	-4.43695221E+01	-4.37372302E+01	-4.35209057E+01	-4.28261976E+01	-4.26219769E+01	-4.22026848E+01	
-1.30000000E+02	-4.22850940E+01	-4.49270970E+01	-4.41916575E+01	-4.39251793E+01	-4.31423918E+01	-4.29075444E+01	-4.24453341E+01	
-1.29000000E+02	-4.27681216E+01	-4.56948974E+01	-4.48840940E+01	-4.45651682E+01	-4.36922129E+01	-4.34321244E+01	-4.29350681E+01	
-1.28000000E+02	-4.34669745E+01	-4.66279594E+01	-4.57787086E+01	-4.53997869E+01	-4.44314618E+01	-4.41531989E+01	-4.36331536E+01	
-1.27000000E+02	-4.42877073E+01	-4.76064155E+01	-4.67708002E+01	-4.63216237E+01	-4.52570192E+01	-4.49703743E+01	-4.44460814E+01	
-1.26000000E+02	-4.50567169E+01	-4.84198247E+01	-4.76546489E+01	-4.71332223E+01	-4.59835081E+01	-4.57006956E+01	-4.51958307E+01	
-1.25000000E+02	-4.55268539E+01	-4.88339177E+01	-4.81626387E+01	-4.75896547E+01	-4.63855085E+01	-4.61132088E+01	-4.56428903E+01	
-1.24000000E+02	-4.55245793E+01	-4.87731669E+01	-4.81538354E+01	-4.75720115E+01	-4.63440447E+01	-4.60750166E+01	-4.56276283E+01	
-1.23000000E+02	-4.51138602E+01	-4.83943042E+01	-4.77554230E+01	-4.71986049E+01	-4.59593915E+01	-4.56773009E+01	-4.52202154E+01	
-1.22000000E+02	-4.45264687E+01	-4.79373739E+01	-4.72328015E+01	-4.67131412E+01	-4.54535622E+01	-4.51448744E+01	-4.46514923E+01	
-1.21000000E+02	-4.39822853E+01	-4.75816212E+01	-4.67960044E+01	-4.63109779E+01	-4.50194161E+01	-4.46778026E+01	-4.41303543E+01	
-1.20000000E+02	-4.36168212E+01	-4.74289661E+01	-4.65630635E+01	-4.61054706E+01	-4.47710664E+01	-4.43941467E+01	-4.37873617E+01	
-1.19000000E+02	-4.34900173E+01	-4.75370996E+01	-4.65898432E+01	-4.61549790E+01	-4.47687268E+01	-4.43541511E+01	-4.36840957E+01	
-1.18000000E+02	-4.36263361E+01	-4.79435049E+01	-4.69056366E+01	-4.64861310E+01	-4.50400184E+01	-4.45849161E+01	-4.38442345E+01	
-1.17000000E+02	-4.40239597E+01	-4.86700041E+01	-4.75131296E+01	-4.71055548E+01	-4.55897793E+01	-4.50899204E+01	-4.42670766E+01	
-1.16000000E+02	-4.46511436E+01	-4.96852977E+01	-4.83673291E+01	-4.79705659E+01	-4.63880955E+01	-4.58391089E+01	-4.49206649E+01	
-1.15000000E+02	-4.54229095E+01	-5.07911016E+01	-4.92949074E+01	-4.89215534E+01	-4.73237866E+01	-4.67331446E+01	-4.57181885E+01	
-1.14000000E+02	-4.61747894E+01	-5.14567700E+01	-4.99106393E+01	-4.95933493E+01	-4.81408903E+01	-4.75497239E+01	-4.64847407E+01	
-1.13000000E+02	-4.66749640E+01	-5.10834300E+01	-4.97791919E+01	-4.95542480E+01	-4.84802860E+01	-4.79699162E+01	-4.69723391E+01	
-1.12000000E+02	-4.67617309E+01	-4.98383854E+01	-4.89254819E+01	-4.87883293E+01	-4.81746198E+01	-4.78117368E+01	-4.70138158E+01	
-1.11000000E+02	-4.64958609E+01	-4.84032164E+01	-4.78072128E+01	-4.77259563E+01	-4.74618568E+01	-4.72413730E+01	-4.66871249E+01	
-1.10000000E+02	-4.60930711E+01	-4.71991674E+01	-4.68098118E+01	-4.67591729E+01	-4.67048840E+01	-4.65825783E+01	-4.62312929E+01	
-1.09000000E+02	-4.57555611E+01	-4.63528370E+01	-4.60971696E+01	-4.60641970E+01	-4.61287961E+01	-4.60655046E+01	-4.58548132E+01	
-1.08000000E+02	-4.55872044E+01	-4.58615316E+01	-4.56999444E+01	-4.56773869E+01	-4.58112227E+01	-4.57796357E+01	-4.56592526E+01	
-1.07000000E+02	-4.56039365E+01	-4.56712116E+01	-4.55838371E+01	-4.55681667E+01	-4.57423234E+01	-4.57247987E+01	-4.56586867E+01	
-1.06000000E+02	-4.57601335E+01	-4.57009646E+01	-4.56793645E+01	-4.56666372E+01	-4.58596590E+01	-4.58444801E+01	-4.58048221E+01	
-1.05000000E+02	-4.59631915E+01	-4.58465502E+01	-4.58888017E+01	-4.58760065E+01	-4.60656090E+01	-4.60422856E+01	-4.60043628E+01	
-1.04000000E+02	-4.61013380E+01	-4.59904758E+01	-4.60958663E+01	-4.60787061E+01	-4.62408791E+01	-4.62010168E+01	-4.61453082E+01	
-1.03000000E+02	-4.60666050E+01	-4.60239806E+01	-4.61895686E+01	-4.61651024E+01	-4.62731078E+01	-4.62097958E+01	-4.61189611E+01	
-1.02000000E+02	-4.58117034E+01	-4.58810790E+01	-4.60999937E+01	-4.60645527E+01	-4.60973342E+01	-4.60075261E+01	-4.58723640E+01	
-1.01000000E+02	-4.53644716E+01	-4.55670842E+01	-4.58281064E+01	-4.57791441E+01	-4.57265936E+01	-4.56123115E+01	-4.54346490E+01	
-1.00000000E+02	-4.48332802E+01	-4.51559727E+01	-4.54483494E+01	-4.53877861E+01	-4.52526625E+01	-4.51193723E+01	-4.49108404E+01	
-9.90000000E+01	-4.43580327E+01	-4.47662229E+01	-4.50849066E+01	-4.50125676E+01	-4.48101770E+01	-4.46650274E+01	-4.44390817E+01	
-9.80000000E+01	-4.40759365E+01	-4.45260378E+01	-4.48745515E+01	-4.47924082E+01	-4.45403017E+01	-4.43892590E+01	-4.41558645E+01	
-9.70000000E+01	-4.41024271E+01	-4.45543493E+01	-4.49457272E+01	-4.48561857E+01	-4.45675723E+01	-4.44144966E+01	-4.41803234E+01	
-9.60000000E+01	-4.45297928E+01	-4.49552337E+01	-4.54125872E+01	-4.53126934E+01	-4.49965209E+01	-4.48413904E+01	-4.46043177E+01	
-9.50000000E+01	-4.54030211E+01	-4.58159779E+01	-4.63692065E+01	-4.62517511E+01	-4.58996690E+01	-4.57373899E+01	-4.54793214E+01	
-9.40000000E+01	-4.66432422E+01	-4.71869668E+01	-4.78515433E+01	-4.76922614E+01	-4.72593387E+01	-4.70712661E+01	-4.67364115E+01	
-9.30000000E+01	-4.77871723E+01	-4.89705939E+01	-4.96399487E+01	-4.93714170E+01	-4.87330523E+01	-4.84736854E+01	-4.79354956E+01	
-9.20000000E+01	-4.79001090E+01	-5.05780253E+01	-5.07725245E+01	-5.03156375E+01	-4.93273763E+01	-4.89572541E+01	-4.81323473E+01	
-9.10000000E+01	-4.67331865E+01	-5.08539669E+01	-5.01355498E+01	-4.95780217E+01	-4.83819015E+01	-4.79587112E+01	-4.70085081E+01	
-9.00000000E+01	-4.51754645E+01	-4.97518332E+01	-4.84992908E+01	-4.79682681E+01	-4.67806053E+01	-4.63690856E+01	-4.54507304E+01	
-8.90000000E+01	-4.38861221E+01	-4.83897180E+01	-4.69991833E+01	-4.65182594E+01	-4.53883726E+01	-4.50024496E+01	-4.41482916E+01	
-8.80000000E+01	-4.30217088E+01	-4.73160754E+01	-4.59336746E+01	-4.54966839E+01	-4.44258655E+01	-4.40666450E+01	-4.32704131E+01	
-8.70000000E+01	-4.25262976E+01	-4.65177569E+01	-4.52098883E+01	-4.48184260E+01	-4.38207381E+01	-4.34936917E+01	-4.27581027E+01	
-8.60000000E+01	-4.22476270E+01	-4.57930882E+01	-4.46181637E+01	-4.42820273E+01	-4.33960653E+01	-4.31128580E+01	-4.24566594E+01	
-8.50000000E+01	-4.19940149E+01	-4.49703162E+01	-4.39646963E+01	-4.36919118E+01	-4.29541681E+01	-4.27253262E+01	-4.21711893E+01	
